commit,case,backend,np,threads,n,steps,phase,total_s,per_step_ms,pct
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,transport,0.076132,6.344360,3.3
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,poisson,2.248601,187.383383,96.5
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,halos,0.000139,0.011583,0.0
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,aux_derive,0.002252,0.187660,0.1
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,reduction,0.002911,0.242616,0.1
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,fence,0.000001,0.000120,0.0
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,alloc_tmp,0.000278,0.023182,0.0
1f9fb4a,profile-step,kokkos-openmp,1,1,256,12,TOTAL,2.330315,194.192904,100.0
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,transport,0.114046,9.503846,1.1
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,poisson,10.139850,844.987537,98.8
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,halos,0.000176,0.014627,0.0
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,aux_derive,0.004792,0.399326,0.0
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,reduction,0.002245,0.187090,0.0
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,fence,0.000001,0.000117,0.0
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,alloc_tmp,0.002550,0.212503,0.0
1f9fb4a,profile-step,kokkos-openmp,1,2,256,12,TOTAL,10.263661,855.305046,100.0
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,transport,0.059307,4.942261,0.9
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,poisson,6.847884,570.656996,99.0
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,halos,0.000175,0.014610,0.0
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,aux_derive,0.007073,0.589450,0.1
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,reduction,0.001733,0.144451,0.0
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,fence,0.000001,0.000121,0.0
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,alloc_tmp,0.002647,0.220609,0.0
1f9fb4a,profile-step,kokkos-openmp,1,4,256,12,TOTAL,6.918822,576.568498,100.0
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,transport,0.031707,2.642254,0.8
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,poisson,4.121346,343.445531,99.0
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,halos,0.000176,0.014630,0.0
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,aux_derive,0.007234,0.602798,0.2
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,reduction,0.001399,0.116604,0.0
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,fence,0.000001,0.000119,0.0
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,alloc_tmp,0.002675,0.222881,0.1
1f9fb4a,profile-step,kokkos-openmp,1,8,256,12,TOTAL,4.164538,347.044817,100.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,transport,0.022675,1.889618,1.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,poisson,2.170709,180.892385,98.8
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,halos,0.000147,0.012222,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,aux_derive,0.002578,0.214794,0.1
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,reduction,0.001037,0.086417,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,fence,0.000001,0.000118,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,alloc_tmp,0.000644,0.053628,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,256,12,TOTAL,2.197790,183.149181,100.0
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,transport,0.060178,5.014850,1.1
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,poisson,5.536644,461.387037,97.1
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,halos,0.000191,0.015905,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,aux_derive,0.002571,0.214280,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,reduction,0.099075,8.256237,1.7
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,fence,0.000002,0.000131,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,alloc_tmp,0.000641,0.053439,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,2,4,256,12,TOTAL,5.699303,474.941879,100.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,transport,0.267428,22.285687,0.8
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,poisson,31.401500,2616.791626,96.1
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,halos,0.000240,0.019982,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,aux_derive,0.002617,0.218063,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,reduction,0.991349,82.612451,3.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,fence,0.000002,0.000132,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,alloc_tmp,0.000989,0.082395,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,256,12,TOTAL,32.664124,2722.010334,100.0
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,transport,0.399036,33.252987,0.8
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,poisson,49.531040,4127.586691,95.7
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,halos,0.000268,0.022322,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,aux_derive,0.002463,0.205212,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,reduction,1.825847,152.153955,3.5
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,fence,0.000002,0.000126,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,alloc_tmp,0.000453,0.037727,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,8,4,256,12,TOTAL,51.759108,4313.259020,100.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,transport,0.005986,0.498800,0.8
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,poisson,0.707355,58.946217,98.9
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,halos,0.000088,0.007364,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,aux_derive,0.001080,0.089963,0.2
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,reduction,0.000419,0.034906,0.1
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,fence,0.000002,0.000127,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,alloc_tmp,0.000276,0.022970,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,1,4,128,12,TOTAL,0.715204,59.600347,100.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,transport,0.600267,50.022284,0.6
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,poisson,98.942607,8245.217274,98.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,halos,0.000363,0.030267,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,aux_derive,0.009628,0.802304,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,reduction,1.418263,118.188562,1.4
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,fence,0.000002,0.000127,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,alloc_tmp,0.001551,0.129257,0.0
1f9fb4a,profile-step,mpi+kokkos-openmp,4,4,512,12,TOTAL,100.972681,8414.390073,100.0
