commit,repo,case,scaling,backend,machine,np,threads,gpus,n_global,n_local,steps,warmup,wall_s,per_step_ms,speedup,efficiency,notes
1f9fb4a,adc_cpp,profile-step,strong,kokkos-openmp,romeo-x64cpu,1,1,0,256,,12,3,2.3303,194.1929,,,single-rank-kokkos-openmp
1f9fb4a,adc_cpp,profile-step,strong,kokkos-openmp,romeo-x64cpu,1,2,0,256,,12,3,10.2637,855.3050,,,single-rank-kokkos-openmp
1f9fb4a,adc_cpp,profile-step,strong,kokkos-openmp,romeo-x64cpu,1,4,0,256,,12,3,6.9188,576.5685,,,single-rank-kokkos-openmp
1f9fb4a,adc_cpp,profile-step,strong,kokkos-openmp,romeo-x64cpu,1,8,0,256,,12,3,4.1646,347.0448,,,single-rank-kokkos-openmp
1f9fb4a,adc_cpp,profile-step,strong,mpi+kokkos-openmp,romeo-x64cpu,1,4,0,256,,12,3,2.1978,183.1492,,,one-node
1f9fb4a,adc_cpp,profile-step,strong,mpi+kokkos-openmp,romeo-x64cpu,2,4,0,256,,12,3,5.6358,474.9419,,,one-node
1f9fb4a,adc_cpp,profile-step,strong,mpi+kokkos-openmp,romeo-x64cpu,4,4,0,256,,12,3,32.3820,2722.0103,,,one-node
1f9fb4a,adc_cpp,profile-step,strong,mpi+kokkos-openmp,romeo-x64cpu,8,4,0,256,,12,3,51.2170,4313.2590,,,one-node
1f9fb4a,adc_cpp,profile-step,weak,mpi+kokkos-openmp,romeo-x64cpu,1,4,0,128,,12,3,0.7152,59.6003,,,weak-local-n128-per-rank-axis
1f9fb4a,adc_cpp,profile-step,weak,mpi+kokkos-openmp,romeo-x64cpu,4,4,0,512,,12,3,100.2702,8414.3901,,,weak-local-n128-per-rank-axis
