commit,case,frontend,backend,n,steps,dt,cache_state,setup_ms,compile_ms,advance_ms,step_loop_ms,extract_ms,total_ms,ratio_vs_cpp,notes
adde23b,frontend-euler-periodic,cpp-native,kokkos-openmp-pic,128,40,1e-4,n/a,,0,292.417221,n/a,0.119530,292.536751,1.0,threads=1
adde23b,frontend-euler-periodic,cpp-native,kokkos-openmp-pic,128,40,1e-4,n/a,,0,239.587190,n/a,0.146059,239.733249,1.0,threads=4
adde23b,frontend-euler-periodic,cpp-native,kokkos-openmp-pic,128,40,1e-4,n/a,,0,177.458743,n/a,0.143910,177.602653,1.0,threads=8
adde23b,frontend-euler-periodic,python-bricks,kokkos-openmp,128,40,1e-4,n/a,0.970902998233214,0.0,283.85461401194334,284.1082740051206,0.3980410110671073,285.22355802124366,,threads=1 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,cold,0.6848520133644342,15413.567234005313,341.5397189965006,342.11639998829924,0.07412998820655048,15755.865935003385,,threads=1 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,warm,0.19215000793337822,6.7772180191241205,341.0959070024546,341.9993710122071,0.07329002255573869,348.13856505206786,,threads=1 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-bricks,kokkos-openmp,128,40,1e-4,n/a,0.9602319914847612,0.0,228.25980398920365,229.62942798039876,0.1403010101057589,229.36033699079417,,threads=4 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,cold,0.6309279997367412,15521.544193004956,341.6749290190637,341.9624080124777,0.07018001633696258,15863.920230040094,,threads=4 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,warm,0.18182999338023365,7.608435989823192,342.0465470117051,341.28764900378883,0.0680399825796485,349.9048529774882,,threads=4 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-bricks,kokkos-openmp,128,40,1e-4,n/a,0.9861559956334531,0.0,165.2914409933146,167.00996601139195,0.12740000966005027,166.4049969986081,,threads=8 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,cold,0.6054080149624497,15350.629372987896,341.28550899913535,341.144407982938,0.070019974373281,15692.590309976367,,threads=8 mass=5.94124800000000032e+04
adde23b,frontend-euler-periodic,python-dsl-production,kokkos-openmp,128,40,1e-4,warm,0.1570410095155239,7.492070988519117,341.08734398614615,341.00853401469067,0.06898000719957054,348.80543599138036,,threads=8 mass=5.94124800000000032e+04
