commit,case,backend,np,threads,n,steps,phase,total_s,per_step_ms,pct
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,1,1024,24,halos,3.599774500e-02,1.499906,0.286
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,1,1024,24,cfl_reduction,2.512200600e-01,10.467503,1.997
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,1,1024,24,transport,1.226014952e+01,510.839563,97.465
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,1,1024,24,diagnostic_reduction,3.160039700e-02,1.316683,0.251
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,1,1024,24,fence,2.990000000e-06,0.000125,0.000
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,1,1024,24,TOTAL,1.257897072e+01,524.123780,100.000
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,2,1024,24,halos,5.964092600e-02,2.485039,0.572
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,2,1024,24,cfl_reduction,1.510389630e-01,6.293290,1.449
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,2,1024,24,transport,1.017379282e+01,423.908034,97.618
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,2,1024,24,diagnostic_reduction,3.755321400e-02,1.564717,0.360
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,2,1024,24,fence,2.950000000e-06,0.000123,0.000
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,2,1024,24,TOTAL,1.042202888e+01,434.251203,100.000
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,4,1024,24,halos,6.594227800e-02,2.747595,0.967
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,4,1024,24,cfl_reduction,9.007329200e-02,3.753054,1.321
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,4,1024,24,transport,6.630353044e+00,276.264710,97.226
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,4,1024,24,diagnostic_reduction,3.316407100e-02,1.381836,0.486
adde23b,transport-euler-periodic-mbox,kokkos-openmp,1,4,1024,24,fence,2.880000000e-06,0.000120,0.000
