commit,repo,case,scaling,backend,machine,np,threads,gpus,n_global,n_local,steps,warmup,wall_s,per_step_ms,speedup,efficiency,notes
0162d5f4a8,adc_cpp,transport,strong,kokkos-omp,romeo-x64cpu,1,1,0,4096,,15,3,,5238.64,,,branch=feat/perf-campaign-bench job=647857 boxes=256 max_grid=256
0162d5f4a8,adc_cpp,poisson,strong,kokkos-omp,romeo-x64cpu,1,1,0,1024,,15,3,,71.19186,,,branch=feat/perf-campaign-bench job=647857 boxes=16 max_grid=256
0162d5f4a8,adc_cpp,transport,strong,kokkos-omp,romeo-x64cpu,1,2,0,4096,,15,3,,5106.551,,,branch=feat/perf-campaign-bench job=647857 boxes=256 max_grid=256
0162d5f4a8,adc_cpp,poisson,strong,kokkos-omp,romeo-x64cpu,1,2,0,1024,,15,3,,319.5004,,,branch=feat/perf-campaign-bench job=647857 boxes=16 max_grid=256
0162d5f4a8,adc_cpp,transport,strong,kokkos-omp,romeo-x64cpu,1,4,0,4096,,15,3,,2735.657,,,branch=feat/perf-campaign-bench job=647857 boxes=256 max_grid=256
0162d5f4a8,adc_cpp,poisson,strong,kokkos-omp,romeo-x64cpu,1,4,0,1024,,15,3,,214.0247,,,branch=feat/perf-campaign-bench job=647857 boxes=16 max_grid=256
0162d5f4a8,adc_cpp,transport,strong,kokkos-omp,romeo-x64cpu,1,8,0,4096,,15,3,,1483.221,,,branch=feat/perf-campaign-bench job=647857 boxes=256 max_grid=256
0162d5f4a8,adc_cpp,poisson,strong,kokkos-omp,romeo-x64cpu,1,8,0,1024,,15,3,,121.3065,,,branch=feat/perf-campaign-bench job=647857 boxes=16 max_grid=256
0162d5f4a8,adc_cpp,transport,strong,kokkos-omp,romeo-x64cpu,1,16,0,4096,,15,3,,912.9574,,,branch=feat/perf-campaign-bench job=647857 boxes=256 max_grid=256
0162d5f4a8,adc_cpp,poisson,strong,kokkos-omp,romeo-x64cpu,1,16,0,1024,,15,3,,82.42049,,,branch=feat/perf-campaign-bench job=647857 boxes=16 max_grid=256
0162d5f4a8,adc_cpp,transport,strong,mpi-omp,romeo-x64cpu,1,16,0,4096,,15,3,,760.8623,,,branch=feat/perf-campaign-bench job=647857 boxes=256 max_grid=256
0162d5f4a8,adc_cpp,transport,weak,kokkos-omp,romeo-x64cpu,1,1,0,512,,15,3,,80.83768,,,branch=feat/perf-campaign-bench job=647857 boxes=4 max_grid=256
0162d5f4a8,adc_cpp,poisson,weak,kokkos-omp,romeo-x64cpu,1,1,0,256,,15,3,,4.198807,,,branch=feat/perf-campaign-bench job=647857 boxes=1 max_grid=256
