commit,case,backend,np,threads,n,steps,phase,total_s,per_step_ms,pct
1d4cd25e25,transport,mpi-omp,1,16,4096,15,halos,0.18525825,12.35055,1.5391042217404927
1d4cd25e25,transport,mpi-omp,1,16,4096,15,transport,10.622943,708.1962,88.2541879706227
1d4cd25e25,transport,mpi-omp,1,16,4096,15,poisson,0.0,0.0,0.0
1d4cd25e25,transport,mpi-omp,1,16,4096,15,reduction,0.077652315,5.176821,0.6451264969005298
1d4cd25e25,transport,mpi-omp,1,16,4096,15,alloc_tmp,0.58306395,38.87093,4.844028198418627
1d4cd25e25,transport,mpi-omp,1,16,4096,15,diag,0.5678404499999999,37.85603,4.717553112317649
1d4cd25e25,transport,mpi-cuda,1,1,4096,20,halos,1.4497846,72.48923,13.243202236296204
1d4cd25e25,transport,mpi-cuda,1,1,4096,20,transport,7.876434000000001,393.8217,71.94807308812597
1d4cd25e25,transport,mpi-cuda,1,1,4096,20,poisson,0.0,0.0,0.0
1d4cd25e25,transport,mpi-cuda,1,1,4096,20,reduction,0.3866072,19.33036,3.5315020835565596
1d4cd25e25,transport,mpi-cuda,1,1,4096,20,alloc_tmp,0.3555156,17.77578,3.2474927578608486
1d4cd25e25,transport,mpi-cuda,1,1,4096,20,diag,0.8790456,43.95228,8.029729834160426
1d4cd25e25,poisson,mpi-cuda,1,1,1024,20,halos,0.0,0.0,0.0
1d4cd25e25,poisson,mpi-cuda,1,1,1024,20,transport,0.0,0.0,0.0
1d4cd25e25,poisson,mpi-cuda,1,1,1024,20,poisson,0.429026,21.4513,95.47006634033164
1d4cd25e25,poisson,mpi-cuda,1,1,1024,20,reduction,0.0,0.0,0.0
1d4cd25e25,poisson,mpi-cuda,1,1,1024,20,alloc_tmp,0.0,0.0,0.0
1d4cd25e25,poisson,mpi-cuda,1,1,1024,20,diag,0.02035674,1.017837,4.529933659668371
