# diocotron highorder nc=256 l=5 ng=3 cfl=0.4
t,amplitude
0,4.33779e-05
0.0387019,4.33598e-05
0.0774038,4.33552e-05
0.116106,4.33602e-05
0.154808,4.33738e-05
0.19351,4.33959e-05
0.232211,4.34263e-05
0.270913,4.34646e-05
0.309615,4.35109e-05
0.348317,4.3565e-05
0.387019,4.36269e-05
0.425721,4.36965e-05
0.464423,4.37737e-05
0.503125,4.38584e-05
0.541827,4.39504e-05
0.580529,4.40498e-05
0.61923,4.41563e-05
0.657932,4.42699e-05
0.696634,4.43905e-05
0.735336,4.4518e-05
0.774038,4.46522e-05
0.81274,4.4793e-05
0.851442,4.49404e-05
0.890144,4.50942e-05
0.928846,4.52543e-05
0.967548,4.54206e-05
1.00625,4.5593e-05
1.04495,4.57713e-05
1.08365,4.59556e-05
1.12236,4.61456e-05
1.16106,4.63414e-05
1.19976,4.65427e-05
1.23846,4.67494e-05
1.27716,4.69616e-05
1.31586,4.7179e-05
1.35457,4.74015e-05
1.39327,4.76291e-05
1.43197,4.78617e-05
1.47067,4.8099e-05
1.50937,4.83411e-05
1.54808,4.85877e-05
1.58678,4.88389e-05
1.62548,4.90944e-05
1.66418,4.93543e-05
1.70288,4.96184e-05
1.74159,4.98866e-05
1.78029,5.01588e-05
1.81899,5.04349e-05
1.85769,5.07149e-05
1.89639,5.09986e-05
1.9351,5.12861e-05
1.9738,5.15771e-05
2.0125,5.18716e-05
2.0512,5.21695e-05
2.0899,5.24708e-05
2.1286,5.27754e-05
2.16731,5.30831e-05
2.20601,5.33939e-05
2.24471,5.37077e-05
2.28341,5.40243e-05
2.32211,5.43438e-05
2.36082,5.46661e-05
2.39952,5.49911e-05
2.43822,5.53188e-05
2.47692,5.56491e-05
2.51562,5.59819e-05
2.55433,5.63172e-05
2.59303,5.66549e-05
2.63173,5.6995e-05
2.67043,5.73373e-05
2.70913,5.76819e-05
2.74783,5.80287e-05
2.78654,5.83775e-05
2.82524,5.87284e-05
2.86394,5.90814e-05
2.90264,5.94363e-05
2.94134,5.97932e-05
2.98005,6.0152e-05
3.01875,6.05126e-05
3.05745,6.0875e-05
3.09615,6.12391e-05
3.13485,6.1605e-05
3.17356,6.19725e-05
3.21226,6.23416e-05
3.25096,6.27123e-05
3.28966,6.30845e-05
3.32836,6.34583e-05
3.36707,6.38336e-05
3.40577,6.42104e-05
3.44447,6.45885e-05
3.48317,6.4968e-05
3.52187,6.53489e-05
3.56057,6.5731e-05
3.59928,6.61144e-05
3.63798,6.64991e-05
3.67668,6.6885e-05
3.71538,6.72721e-05
3.75408,6.76603e-05
3.79279,6.80496e-05
3.83149,6.844e-05
3.87019,6.88314e-05
3.90889,6.92239e-05
3.94759,6.96174e-05
3.9863,7.00119e-05
4.025,7.04073e-05
4.0637,7.08037e-05
4.1024,7.1201e-05
4.1411,7.15992e-05
4.17981,7.19984e-05
4.21851,7.23985e-05
4.25721,7.27995e-05
4.29591,7.32015e-05
4.33461,7.36043e-05
4.37331,7.40079e-05
4.41202,7.44124e-05
4.45072,7.48177e-05
4.48942,7.52238e-05
4.52812,7.56308e-05
4.56682,7.60385e-05
4.60553,7.64471e-05
4.64423,7.68564e-05
4.68293,7.72665e-05
4.72163,7.76774e-05
4.76033,7.8089e-05
4.79904,7.85014e-05
4.83774,7.89146e-05
4.87644,7.93285e-05
4.91514,7.97432e-05
4.95384,8.01587e-05
4.99255,8.05749e-05
5.03125,8.09919e-05
5.06995,8.14096e-05
5.10865,8.18281e-05
5.14735,8.22473e-05
5.18605,8.26673e-05
5.22476,8.3088e-05
5.26346,8.35094e-05
5.30216,8.39316e-05
5.34086,8.43545e-05
5.37956,8.47781e-05
5.41827,8.52025e-05
5.45697,8.56277e-05
5.49567,8.60537e-05
5.53437,8.64804e-05
5.57307,8.6908e-05
5.61178,8.73363e-05
5.65048,8.77655e-05
5.68918,8.81955e-05
5.72788,8.86264e-05
5.76658,8.90581e-05
5.80529,8.94907e-05
5.84399,8.99241e-05
5.88269,9.03584e-05
5.92139,9.07937e-05
5.96009,9.12298e-05
5.99879,9.16668e-05
6.0375,9.21048e-05
6.0762,9.25436e-05
6.1149,9.29834e-05
6.1536,9.34241e-05
6.1923,9.38656e-05
6.23101,9.43081e-05
6.26971,9.47515e-05
6.30841,9.51957e-05
6.34711,9.56409e-05
6.38581,9.6087e-05
6.42452,9.65339e-05
6.46322,9.69818e-05
6.50192,9.74305e-05
6.54062,9.78801e-05
6.57932,9.83306e-05
6.61803,9.87819e-05
6.65673,9.92342e-05
6.69543,9.96874e-05
6.73413,0.000100142
6.77283,0.000100597
6.81153,0.000101053
6.85024,0.00010151
6.88894,0.000101968
6.92764,0.000102426
6.96634,0.000102886
7.00504,0.000103347
7.04375,0.000103809
7.08245,0.000104272
7.12115,0.000104736
7.15985,0.000105201
7.19855,0.000105666
7.23726,0.000106133
7.27596,0.000106601
7.31466,0.00010707
7.35336,0.000107539
7.39206,0.00010801
